[ 2012-12-12T00:14:01+08:00 ] /yesow/admin.php/index/index | NOTIC: [8] Undefined variable: menu 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 139 行.
[ 2012-12-12T00:14:01+08:00 ] /yesow/admin.php/index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.025644s ]
[ 2012-12-12T00:14:01+08:00 ] /yesow/admin.php/index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.025957s ]
[ 2012-12-12T00:14:01+08:00 ] /yesow/admin.php/index/index | INFO: Tag[ view_filter ] --START--
[ 2012-12-12T00:14:01+08:00 ] /yesow/admin.php/index/index | INFO: Run ContentReplace Behavior [ RunTime:0.001142s ]
[ 2012-12-12T00:14:01+08:00 ] /yesow/admin.php/index/index | INFO: Run TokenBuild Behavior [ RunTime:0.001230s ]
[ 2012-12-12T00:14:01+08:00 ] /yesow/admin.php/index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000620s ]
[ 2012-12-12T00:14:01+08:00 ] /yesow/admin.php/index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001440s ]
[ 2012-12-12T00:14:01+08:00 ] /yesow/admin.php/index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005463s ]
[ 2012-12-12T00:14:01+08:00 ] /yesow/admin.php/index/index | INFO: Tag[ view_end ] --START--
[ 2012-12-12T00:14:01+08:00 ] /yesow/admin.php/index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001204s ]
[ 2012-12-12T00:14:01+08:00 ] /yesow/admin.php/index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001645s ]
[ 2012-12-12T00:14:05+08:00 ] /yesow/admin.php/Public/profile/?_=1355242445549 | INFO: Tag[ route_check ] --START--
[ 2012-12-12T00:14:05+08:00 ] /yesow/admin.php/Public/profile/?_=1355242445549 | INFO: Run CheckRoute Behavior [ RunTime:0.001198s ]
[ 2012-12-12T00:14:05+08:00 ] /yesow/admin.php/Public/profile/?_=1355242445549 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001527s ]
